ID,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Type_of_order,multiple_deliveries,Festival,City,Time_taken_min
0x22ad,04/03/2022,21:25:00,21:40:00,Sandstorms,Jam,Buffet,1,No,Metropolitian,29
0x9f99,18/03/2022,22:35:00,22:40:00,Cloudy,Low,Snack,1,No,Urban,22
0x6781,23/03/2022,20:10:00,20:20:00,Fog,Jam,Drinks,0,No,Metropolitian,42
0x1b8d,15/03/2022,10:55:00,11:10:00,Sandstorms,Low,Snack,0,No,Urban,12
0x1aea,08/03/2022,20:35:00,20:45:00,Cloudy,Jam,Snack,1,No,Metropolitian,38
0x1e42,10/03/2022,23:20:00,23:35:00,Sunny,Low,Drinks,1,No,Metropolitian,23
0xddc8,11/02/2022,10:35:00,10:50:00,Cloudy,Low,Meal,0,No,Metropolitian,15
0x24ac,14/03/2022,23:45:00,23:50:00,Sunny,Low,Snack,1,No,Metropolitian,24
0x3f01,16/03/2022,19:55:00,20:00:00,Windy,Jam,Drinks,0,No,Metropolitian,37
0x628c,01/03/2022,22:15:00,22:25:00,Sandstorms,Low,Snack,0,No,Metropolitian,24
0x6c38,01/03/2022,23:10:00,23:15:00,Sunny,Low,Buffet,0,No,Metropolitian,13
0x8339,02/03/2022,18:25:00,18:35:00,Cloudy,Medium,Drinks,1,No,Urban,42
0x3ec5,20/03/2022,22:10:00,22:20:00,Sandstorms,Low,Meal,1,No,Metropolitian,17
0xadb4,03/04/2022,20:50:00,21:05:00,Cloudy,Jam,Drinks,0,No,Metropolitian,25
0x2bc0,29/03/2022,18:45:00,18:50:00,Fog,Medium,Snack,0,No,Metropolitian,39
0x99e7,17/03/2022,14:55:00,15:05:00,Sunny,High,Meal,0,No,Metropolitian,18
0x39ef,17/03/2022,16:50:00,17:00:00,Sandstorms,Medium,Drinks,1,No,Metropolitian,28
0xe264,15/02/2022,22:20:00,22:35:00,Sandstorms,Low,Drinks,1,No,Metropolitian,18
0x9a29,08/03/2022,21:10:00,21:20:00,Fog,Jam,Snack,1,No,Metropolitian,49
0xa480,31/03/2022,23:30:00,23:35:00,Sunny,Low,Drinks,1,No,Metropolitian,21
0xb46c,01/03/2022,14:20:00,14:35:00,Sunny,High,Snack,0,No,Metropolitian,23
0x7150,03/04/2022,10:15:00,10:25:00,Fog,Low,Meal,1,No,Urban,11
0x1e58,24/03/2022,21:20:00,21:35:00,Cloudy,Jam,Snack,0,No,Metropolitian,25
0x4460,07/03/2022,08:50:00,08:55:00,Fog,Low,Snack,0,No,Metropolitian,18
0x977d,09/03/2022,09:00:00,09:05:00,Cloudy,Low,Buffet,0,No,Metropolitian,14
0x1602,12/03/2022,17:45:00,18:00:00,Windy,Medium,Drinks,2,No,Metropolitian,36
0x655,05/03/2022,08:30:00,08:40:00,Sandstorms,Low,Snack,1,No,Metropolitian,28
0x20f6,18/03/2022,20:35:00,20:50:00,Fog,Jam,Buffet,0,Yes,Metropolitian,44
0x3db1,13/03/2022,23:25:00,23:40:00,Windy,Low,Snack,1,No,Metropolitian,20
0x8ed2,31/03/2022,19:55:00,20:05:00,Fog,Jam,Snack,1,No,Metropolitian,35
0x64cc,23/03/2022,21:20:00,21:30:00,Sandstorms,Jam,Meal,1,No,Metropolitian,50
0x2ed0,24/03/2022,21:45:00,21:50:00,Stormy,Jam,Meal,1,No,Metropolitian,34
0x7553,03/03/2022,14:50:00,15:00:00,Sandstorms,High,Snack,0,No,Urban,23
0x35d8,09/03/2022,18:10:00,18:20:00,Fog,Medium,Buffet,1,No,Metropolitian,27
0x4c88,18/03/2022,23:40:00,23:50:00,Cloudy,Low,Buffet,1,No,Metropolitian,35
0xae56,04/03/2022,17:50:00,18:00:00,Stormy,Medium,Snack,0,No,Metropolitian,30
0x9b79,01/04/2022,12:30:00,12:45:00,Cloudy,High,Snack,1,No,Metropolitian,28
0x596a,20/03/2022,17:10:00,17:20:00,Sandstorms,Medium,Drinks,1,No,Metropolitian,24
0x78aa,31/03/2022,19:15:00,19:30:00,Cloudy,Jam,Meal,1,No,Urban,36
0xd7ec,13/02/2022,23:50:00,23:55:00,Sandstorms,Low,Buffet,0,No,Metropolitian,28
0x55b1,29/03/2022,18:45:00,18:50:00,Fog,Medium,Drinks,1,No,Urban,31
0x87e4,16/03/2022,20:40:00,20:45:00,Sunny,Jam,Meal,3,No,Metropolitian,44
0x82c3,14/03/2022,22:10:00,22:25:00,Windy,Low,Drinks,1,No,Metropolitian,15
0x5397,31/03/2022,17:20:00,17:25:00,Windy,Medium,Buffet,1,No,Metropolitian,33
0x876b,17/03/2022,19:55:00,20:10:00,Fog,Jam,Buffet,0,No,Metropolitian,30
0x3a5a,28/03/2022,18:15:00,18:25:00,Stormy,Medium,Snack,1,No,Metropolitian,22
0x5631,04/03/2022,17:25:00,17:35:00,Fog,Medium,Meal,3,No,Metropolitian,48
0x1dac,04/03/2022,23:45:00,00:00:00,Stormy,Low,Drinks,1,No,Metropolitian,19
0xde01,14/02/2022,18:30:00,18:35:00,Windy,Medium,Snack,1,No,Urban,21
0x8771,25/03/2022,21:35:00,21:45:00,Windy,Jam,Drinks,0,No,Metropolitian,44
0x3645,17/03/2022,08:40:00,08:55:00,Windy,Low,Drinks,0,No,Metropolitian,26
0x1ff1,01/04/2022,22:35:00,22:40:00,Windy,Low,Buffet,1,No,Metropolitian,26
0x4a3c,19/03/2022,11:45:00,11:50:00,Windy,High,Meal,1,No,Metropolitian,31
0x6cc6,02/03/2022,19:10:00,19:15:00,Sunny,Jam,Snack,0,No,Metropolitian,18
0xc141,16/02/2022,18:45:00,19:00:00,Fog,Medium,Meal,1,No,Metropolitian,38
0x690f,29/03/2022,18:15:00,18:25:00,Cloudy,Medium,Snack,1,No,Metropolitian,32
0xb4ba,07/03/2022,22:30:00,22:35:00,Sandstorms,Low,Meal,1,No,Metropolitian,17
0x63a9,03/03/2022,19:00:00,19:05:00,Fog,Medium,Buffet,1,No,Urban,11
0x88dd,30/03/2022,13:10:00,13:20:00,Windy,High,Buffet,1,No,Metropolitian,31
0x87a8,19/03/2022,17:55:00,18:05:00,Windy,Medium,Meal,0,No,Metropolitian,25
0x3f8d,15/03/2022,19:50:00,20:05:00,Cloudy,Jam,Snack,1,No,Metropolitian,22
0x290c,02/03/2022,21:15:00,21:20:00,Fog,Jam,Drinks,3,No,Metropolitian,43
0x7ece,31/03/2022,19:35:00,19:45:00,Fog,Jam,Buffet,1,Yes,Metropolitian,42
0x1365,06/03/2022,19:10:00,19:20:00,Stormy,Jam,Meal,0,No,Metropolitian,42
0x33a4,21/03/2022,21:20:00,21:30:00,Fog,Jam,Drinks,1,No,Metropolitian,34
0x8f3c,01/03/2022,09:50:00,10:05:00,Sandstorms,Low,Snack,1,No,Metropolitian,17
0x2fe1,24/03/2022,20:35:00,20:40:00,Stormy,Jam,Snack,0,No,Metropolitian,25
0x4b5b,04/04/2022,21:15:00,21:25:00,Sandstorms,Jam,Meal,1,Yes,Semi-Urban,54
0x7405,02/03/2022,23:00:00,23:15:00,Windy,Low,Buffet,0,No,Metropolitian,21
0xd02b,12/02/2022,19:45:00,19:50:00,Fog,Jam,Meal,1,No,Metropolitian,36
0x1f0e,05/04/2022,17:45:00,17:55:00,Sunny,Medium,Drinks,0,No,Metropolitian,17
0x7085,03/03/2022,09:00:00,09:10:00,Sunny,Low,Meal,1,No,Metropolitian,16
0x57fa,06/04/2022,20:00:00,20:05:00,Sunny,Jam,Meal,1,No,Metropolitian,27
0x57fc,17/03/2022,12:50:00,12:55:00,Fog,High,Meal,1,No,Metropolitian,26
0x7a1f,31/03/2022,21:40:00,21:55:00,Fog,Jam,Snack,2,Yes,Metropolitian,46
0xceac,17/02/2022,19:55:00,20:05:00,Sunny,Jam,Buffet,0,No,Metropolitian,29
0xa0a5,09/03/2022,19:35:00,19:40:00,Sandstorms,Jam,Snack,1,No,Metropolitian,23
0x6118,25/03/2022,17:10:00,17:25:00,Stormy,Medium,Snack,0,No,Metropolitian,28
0x46fd,11/03/2022,19:35:00,19:40:00,Cloudy,Jam,Meal,1,No,Metropolitian,25
0x5134,03/03/2022,10:30:00,10:45:00,Sandstorms,Low,Snack,0,No,Metropolitian,11
0xd418,15/02/2022,18:10:00,18:20:00,Windy,Medium,Meal,1,No,Metropolitian,26
0x256c,07/03/2022,10:10:00,10:25:00,Stormy,Low,Meal,1,No,Metropolitian,23
0x6055,18/03/2022,17:50:00,18:05:00,Fog,Medium,Snack,2,No,Metropolitian,39
0x1568,06/03/2022,17:55:00,18:10:00,Fog,Medium,Snack,1,No,Metropolitian,43
0x1c60,21/03/2022,09:40:00,09:50:00,Windy,Low,Buffet,0,No,Metropolitian,25
0x7944,19/03/2022,18:20:00,18:25:00,Windy,Medium,Drinks,0,No,Metropolitian,27
0x77ee,28/03/2022,15:35:00,15:50:00,Windy,Medium,Drinks,1,No,Metropolitian,29
0x2192,29/03/2022,18:15:00,18:30:00,Sandstorms,Medium,Buffet,1,No,Metropolitian,33
0x48c7,17/03/2022,16:55:00,17:00:00,Fog,Medium,Drinks,1,No,Urban,19
0x78bf,29/03/2022,18:10:00,18:15:00,Sunny,Medium,Meal,1,No,Metropolitian,33
0xe00d,15/02/2022,20:30:00,20:45:00,Stormy,Jam,Meal,1,No,Metropolitian,29
0x1e86,29/03/2022,22:55:00,23:00:00,Stormy,Low,Meal,1,No,Metropolitian,18
0xcff0,13/02/2022,10:55:00,11:00:00,Stormy,Low,Meal,1,No,Metropolitian,14
0x1e2d,03/04/2022,16:00:00,16:15:00,Windy,Medium,Snack,1,No,Metropolitian,30
0xd072,13/02/2022,14:50:00,15:05:00,Sunny,High,Snack,0,No,Metropolitian,28
0x427b,02/04/2022,19:00:00,19:15:00,Cloudy,Medium,Meal,0,No,Metropolitian,30
0x52e2,20/03/2022,18:15:00,18:20:00,Sandstorms,Medium,Buffet,1,No,Metropolitian,36
0xb5d2,04/03/2022,19:35:00,19:40:00,Cloudy,Jam,Meal,1,No,Metropolitian,43
0x98ca,09/03/2022,18:10:00,18:25:00,Fog,Medium,Buffet,1,No,Urban,15
0x644b,12/03/2022,21:10:00,21:15:00,Windy,Jam,Snack,2,No,Metropolitian,39
0x7a2d,04/04/2022,23:40:00,23:50:00,Windy,Low,Buffet,1,No,Metropolitian,20
0xe13f,11/02/2022,11:00:00,11:10:00,Fog,Low,Buffet,1,No,Metropolitian,15
0xc278,18/02/2022,22:45:00,23:00:00,Sandstorms,Low,Drinks,1,No,Metropolitian,16
0x5912,19/03/2022,11:00:00,11:15:00,Sunny,Low,Drinks,1,No,Metropolitian,19
0xab33,02/03/2022,23:25:00,23:40:00,Fog,Low,Drinks,0,No,Metropolitian,20
0xdd96,14/02/2022,21:00:00,21:10:00,Sunny,Jam,Meal,1,No,Metropolitian,25
0x7646,27/03/2022,19:30:00,19:40:00,Cloudy,Jam,Snack,1,No,Metropolitian,43
0x5ef5,04/03/2022,22:55:00,23:05:00,Windy,Low,Drinks,0,No,Urban,15
0x7ef7,06/04/2022,20:25:00,20:40:00,Sunny,Jam,Buffet,0,No,Urban,29
0x1136,26/03/2022,12:35:00,12:50:00,Stormy,High,Drinks,0,No,Metropolitian,14
0xd032,11/02/2022,18:55:00,19:00:00,Sunny,Medium,Buffet,1,No,Metropolitian,11
0xcf18,11/02/2022,15:25:00,15:30:00,Cloudy,Medium,Buffet,1,No,Urban,11
0x1dad,28/03/2022,11:30:00,11:40:00,Sunny,High,Snack,0,No,Metropolitian,14
0xc918,16/02/2022,22:35:00,22:45:00,Windy,Low,Snack,0,No,Urban,15
0x33c1,16/03/2022,23:35:00,23:45:00,Sandstorms,Low,Meal,1,No,Metropolitian,16
0x27fe,28/03/2022,10:25:00,10:30:00,Stormy,Low,Buffet,1,No,Metropolitian,20
0x1536,03/03/2022,22:20:00,22:30:00,Stormy,Low,Drinks,1,No,Metropolitian,26
0xa152,13/03/2022,17:15:00,17:20:00,Windy,Medium,Snack,0,No,Metropolitian,26
0x9c9a,14/03/2022,21:30:00,21:45:00,Windy,Jam,Meal,0,No,Urban,43
0x3052,01/03/2022,18:40:00,18:50:00,Sandstorms,Medium,Snack,1,No,Urban,25
0x1045,21/03/2022,15:10:00,15:20:00,Fog,Medium,Buffet,1,No,Metropolitian,28
0x2391,10/03/2022,22:50:00,23:05:00,Stormy,Low,Buffet,0,No,Metropolitian,17
0x7ddd,20/03/2022,19:30:00,19:40:00,Windy,Jam,Drinks,1,No,Metropolitian,44
0x279f,06/04/2022,20:30:00,20:35:00,Stormy,Jam,Buffet,1,No,Metropolitian,33
0xaefa,03/04/2022,18:45:00,18:50:00,Sunny,Medium,Snack,0,No,Metropolitian,15
0xdad6,12/02/2022,23:10:00,23:20:00,Fog,Low,Buffet,1,No,Metropolitian,27
0xc237,11/02/2022,11:10:00,11:25:00,Cloudy,High,Meal,1,No,Metropolitian,25
0x4efc,05/04/2022,13:50:00,13:55:00,Sunny,High,Drinks,1,No,Metropolitian,18
0x6e33,05/04/2022,18:40:00,18:45:00,Stormy,Medium,Snack,0,No,Metropolitian,21
0xd92f,18/02/2022,21:15:00,21:30:00,Cloudy,Jam,Buffet,2,No,Metropolitian,53
0xd902,12/02/2022,21:45:00,21:55:00,Sandstorms,Jam,Drinks,3,No,Metropolitian,42
0xd91a,14/02/2022,21:20:00,21:35:00,Sunny,Jam,Snack,1,No,Metropolitian,20
0x4f0c,02/03/2022,22:45:00,22:55:00,Fog,Low,Meal,0,No,Metropolitian,29
0x8456,04/04/2022,20:10:00,20:20:00,Stormy,Jam,Snack,0,No,Urban,15
0x3329,09/03/2022,18:20:00,18:35:00,Fog,Medium,Buffet,1,No,Metropolitian,30
0x1aa8,12/03/2022,20:40:00,20:45:00,Windy,Jam,Snack,1,No,Metropolitian,28
0xd27b,18/02/2022,22:30:00,22:40:00,Sandstorms,Low,Meal,1,No,Metropolitian,15
0xadd6,23/03/2022,21:50:00,22:05:00,Sandstorms,Jam,Buffet,3,Yes,Urban,50
0x7c60,05/03/2022,11:50:00,11:55:00,Stormy,High,Buffet,1,Yes,Metropolitian,41
0xc63e,16/02/2022,18:40:00,18:55:00,Cloudy,Medium,Meal,2,No,Metropolitian,35
0x7b03,02/03/2022,20:25:00,20:35:00,Windy,Jam,Buffet,1,No,Metropolitian,27
0x4314,02/03/2022,21:45:00,21:50:00,Fog,Jam,Buffet,2,No,Metropolitian,43
0xc044,13/02/2022,20:55:00,21:10:00,Sandstorms,Jam,Meal,1,No,Metropolitian,31
0x70b1,20/03/2022,21:15:00,21:20:00,Stormy,Jam,Buffet,1,No,Urban,47
0x59e5,11/03/2022,23:30:00,23:35:00,Fog,Low,Buffet,1,No,Urban,26
0xdeac,18/02/2022,17:15:00,17:30:00,Cloudy,Medium,Snack,1,No,Metropolitian,31
0xa053,04/04/2022,20:45:00,20:55:00,Sandstorms,Jam,Snack,1,No,Metropolitian,42
0xd3bc,18/02/2022,22:00:00,22:10:00,Sandstorms,Jam,Drinks,1,No,Metropolitian,39
0x7c84,26/03/2022,18:35:00,18:40:00,Fog,Medium,Meal,0,No,Metropolitian,18
0x96d2,29/03/2022,20:40:00,20:55:00,Sandstorms,Jam,Snack,1,No,Urban,22
0x77b5,01/03/2022,08:25:00,08:40:00,Fog,Low,Buffet,1,No,Metropolitian,23
0x75dc,18/03/2022,17:45:00,17:55:00,Stormy,Medium,Drinks,0,No,Metropolitian,48
0xbe78,31/03/2022,22:25:00,22:40:00,Windy,Low,Snack,0,No,Urban,13
0x35a2,30/03/2022,11:30:00,11:40:00,Sandstorms,High,Drinks,1,No,Metropolitian,32
0x416f,06/03/2022,21:45:00,21:50:00,Sandstorms,Jam,Snack,0,No,Urban,16
0xa4f5,05/03/2022,17:25:00,17:30:00,Cloudy,Medium,Snack,0,No,Urban,19
0xa4eb,26/03/2022,09:40:00,09:45:00,Sunny,Low,Drinks,1,No,Metropolitian,18
0xd4da,16/02/2022,20:55:00,21:05:00,Windy,Jam,Buffet,1,No,Metropolitian,27
0xb59b,12/03/2022,17:10:00,17:20:00,Sunny,Medium,Drinks,1,No,Urban,25
0x4f73,01/03/2022,18:25:00,18:40:00,Stormy,Medium,Drinks,1,No,Metropolitian,31
0xadae,16/03/2022,17:55:00,18:00:00,Sunny,Medium,Snack,0,No,Metropolitian,20
0xb785,29/03/2022,19:55:00,20:10:00,Windy,Jam,Snack,2,No,Metropolitian,38
0x8366,05/03/2022,23:00:00,23:05:00,Windy,Low,Buffet,1,No,Metropolitian,19
0x8f58,13/03/2022,10:40:00,10:55:00,Cloudy,Low,Buffet,0,No,Urban,24
0x247c,13/03/2022,11:20:00,11:25:00,Fog,High,Drinks,1,No,Urban,26
0x43b9,03/04/2022,18:00:00,18:10:00,Sandstorms,Medium,Meal,1,No,Metropolitian,28
0x9e8a,23/03/2022,17:10:00,17:15:00,Sandstorms,Medium,Snack,1,No,Urban,16
0x1b40,13/03/2022,23:10:00,23:15:00,Windy,Low,Snack,0,No,Urban,24
0xb50,15/03/2022,11:55:00,12:05:00,Stormy,High,Meal,1,No,Metropolitian,34
0x3376,09/03/2022,09:30:00,09:45:00,Cloudy,Low,Snack,1,No,Urban,16
0xbecb,05/04/2022,22:40:00,22:50:00,Windy,Low,Drinks,1,No,Metropolitian,26
0x4357,02/04/2022,17:10:00,17:15:00,Fog,Medium,Drinks,1,No,Metropolitian,25
0x1486,10/03/2022,17:10:00,17:25:00,Fog,Medium,Meal,2,No,Metropolitian,49
0x5b70,23/03/2022,18:30:00,18:40:00,Windy,Medium,Snack,0,No,Urban,24
0x3e21,07/03/2022,19:00:00,19:10:00,Sunny,Medium,Buffet,1,No,Metropolitian,26
0x26d4,18/03/2022,23:55:00,00:10:00,Sandstorms,Low,Buffet,1,No,Metropolitian,24
0xb20f,31/03/2022,19:45:00,19:50:00,Stormy,Jam,Drinks,0,No,Metropolitian,16
0x7ada,04/04/2022,20:30:00,20:40:00,Windy,Jam,Drinks,1,No,Metropolitian,27
0xc4b3,17/02/2022,11:10:00,11:15:00,Fog,High,Drinks,1,No,Metropolitian,25
0x2a01,26/03/2022,09:00:00,09:10:00,Cloudy,Low,Drinks,0,No,Metropolitian,26
0x6357,28/03/2022,19:30:00,19:35:00,Sandstorms,Jam,Buffet,1,No,Urban,25
0x9c2a,15/03/2022,08:20:00,08:25:00,Fog,Low,Meal,1,No,Urban,15
0x31bd,17/03/2022,11:00:00,11:05:00,Sunny,Low,Buffet,1,No,Urban,18
0x970a,09/03/2022,20:30:00,20:35:00,Fog,Jam,Buffet,1,No,Metropolitian,30
0x2675,02/04/2022,19:45:00,20:00:00,Cloudy,Jam,Drinks,1,No,Metropolitian,46
0xa200,29/03/2022,22:25:00,22:30:00,Windy,Low,Drinks,1,No,Metropolitian,24
0x9bf9,05/03/2022,16:00:00,16:05:00,Sandstorms,Medium,Drinks,1,No,Metropolitian,37
0x555d,29/03/2022,21:30:00,21:35:00,Windy,Jam,Snack,1,No,Metropolitian,27
0xb2e9,05/03/2022,17:25:00,17:35:00,Windy,Medium,Meal,1,No,Metropolitian,32
0x8633,13/03/2022,11:45:00,12:00:00,Stormy,High,Buffet,1,No,Urban,28
0x4c34,03/03/2022,20:15:00,20:20:00,Sandstorms,Jam,Drinks,1,No,Metropolitian,29
0xa998,03/03/2022,10:25:00,10:35:00,Sandstorms,Low,Snack,1,No,Metropolitian,27
0x5efd,24/03/2022,08:25:00,08:30:00,Cloudy,Low,Snack,0,No,Metropolitian,11
0x8d83,15/03/2022,17:15:00,17:20:00,Cloudy,Medium,Buffet,1,No,Urban,13
0x8a06,12/03/2022,22:45:00,22:50:00,Windy,Low,Buffet,1,No,Metropolitian,27
